dep;com;arrd;cant;admi;popu;ecarts_popu;surface;nom;xlamb2;ylamb2;xlambz;ylambz;xlamb93;ylamb93;longi_grd;lati_grd;longi_dms;lati_dms;zmin;zmax;wgs84
78;239;1;10;6;18;Entre 10.000 et 25.000 habitants;969;FOLLAINVILLE-DENNEMONT;5544;24471;5545;11469;6059;68809;-692;54468;14250;490114;16;149;49.02036718,1.71345263
78;517;2;18;4;261;Entre 25.000 et 50.000 habitants;3519;RAMBOUILLET;5627;24051;5627;11049;6138;68388;-563;54049;14948;483837;140;177;48.64343432,1.83055469
78;571;3;22;5;52;Entre 10.000 et 25.000 habitants;1174;SAINT-NOM-LA-BRETECHE;5769;24291;5769;11289;6282;68626;-350;54289;20116;485135;87;181;48.85981525,2.02186086
91;691;2;36;5;289;Entre 25.000 et 50.000 habitants;984;YERRES;6114;24131;6114;11129;6625;68463;171;54129;22927;484258;32;116;48.71632606,2.49135804
92;25;2;92;5;846;Entre 50.000 et 100.000 habitants;781;COLOMBES;5938;24361;5938;11359;6452;68695;-94;54360;21508;485525;23;44;48.9231125,2.25195154
95;134;3;3;6;46;Entre 10.000 et 25.000 habitants;945;CHAMPAGNE-SUR-OISE;5926;24598;5926;11595;6442;68932;-112;54595;21408;490809;23;176;49.13607062,2.23516663
95;212;2;13;6;1;Entre 0 et 1000 habitants;342;EPIAIS-LES-LOUVRES;6162;24482;6162;11479;6676;68814;245;54480;23327;490153;90;121;49.03167637,2.55789636
95;509;2;15;6;33;Entre 10.000 et 25.000 habitants;511;PUISEUX-EN-FRANCE;6120;24511;6120;11509;6635;68843;182;54509;23001;490328;90;143;49.05782791,2.50058064
77;7;2;22;6;4;Entre 0 et 1000 habitants;257;ARGENTIERES;6392;24062;6392;11060;6903;68393;590;54060;25204;483913;73;107;48.65321563,2.86833512
77;29;2;22;6;2;Entre 0 et 1000 habitants;394;BEAUVOIR;6389;24052;6389;11050;6900;68383;587;54050;25152;483841;85;114;48.64424509,2.86417419
77;128;1;8;6;21;Entre 10.000 et 25.000 habitants;475;COUILLY-PONT-AUX-DAMES;6383;24319;6382;11317;6896;68649;579;54316;25128;485304;45;119;48.88425767,2.85843719
77;153;1;9;5;80;Entre 10.000 et 25.000 habitants;897;DAMMARTIN-EN-GOELE;6252;24507;6252;11505;6767;68839;383;54505;24053;490315;84;180;49.05385091,2.6810408
77;442;4;13;6;23;Entre 10.000 et 25.000 habitants;565;SAMOREAU;6309;23808;6309;1806;6818;68139;464;53806;24515;482531;41;147;48.42533372,2.75390463
77;459;3;29;6;16;Entre 10.000 et 25.000 habitants;2333;SOURDUN;6749;23936;6749;1934;7259;68264;1126;53930;32101;483213;92;173;48.53680351,3.35043286
77;133;3;20;6;2;Entre 0 et 1000 habitants;1079;COURCELLES-EN-BASSEE;6532;23792;6532;1790;7041;68121;798;53789;30318;482435;47;136;48.4095028,3.05491938
77;185;2;32;6;6;Entre 0 et 1000 habitants;1387;FLEURY-EN-BIERE;6157;23832;6157;1830;6667;68165;236;53831;23257;482652;60;132;48.44745616,2.54867381
77;276;1;31;6;21;Entre 10.000 et 25.000 habitants;717;MAREUIL-LES-MEAUX;6384;24367;6383;11365;6897;68697;581;54364;25135;485539;42;138;48.92738869,2.86023513
77;302;4;24;6;21;Entre 10.000 et 25.000 habitants;817;MONTCOURT-FROMONVILLE;6272;23674;6272;1672;6780;68006;408;53673;24213;481820;55;85;48.30502575,2.70308383
77;487;2;18;6;112;Entre 10.000 et 25.000 habitants;1164;VAUX-LE-PENIL;6255;23920;6255;1918;6765;68252;384;53918;24056;483135;37;96;48.52625564,2.68162607
78;140;1;14;6;12;Entre 10.000 et 25.000 habitants;510;CHAPET;5705;24410;5705;11407;6219;68746;-448;54407;15601;485759;29;121;48.96649662,1.93385604
78;255;1;2;6;39;Entre 10.000 et 25.000 habitants;1032;FRENEUSE;5462;24502;5462;11499;5977;68840;-817;54497;13603;490250;14;114;49.04758553,1.60102214
78;364;2;15;6;7;Entre 0 et 1000 habitants;472;MARCQ;5620;24291;5620;11289;6133;68628;-575;54288;14908;485134;117;172;48.85910502,1.81891297
78;530;1;7;6;4;Entre 0 et 1000 habitants;454;ROSAY;5517;24356;5517;11354;6031;68694;-732;54352;14039;485501;47;168;48.9168267,1.67788131
78;550;2;15;6;18;Entre 10.000 et 25.000 habitants;523;SAINT-GERMAIN-DE-LA-GRANGE;5679;24262;5679;11260;6192;68598;-486;54260;15358;485001;57;170;48.83336424,1.89949421
78;646;4;99;3;865;Entre 50.000 et 100.000 habitants;2618;VERSAILLES;5851;24229;5851;11227;6364;68564;-225;54227;20803;484817;103;180;48.80433562,2.1337709
91;433;1;8;6;43;Entre 10.000 et 25.000 habitants;3085;MORIGNY-CHAMPIGNY;5887;23831;5887;1828;6396;68165;-170;53829;21060;482647;63;156;48.44664668,2.18381099
94;38;3;12;4;298;Entre 25.000 et 50.000 habitants;390;L'HAY-LES-ROSES;6001;24201;6001;11199;6513;68534;1;54199;22014;484645;42;109;48.77934349,2.33786667
95;328;3;34;6;6;Entre 0 et 1000 habitants;807;LABBEVILLE;5859;24597;5859;11594;6375;68931;-215;54594;20835;490805;38;122;49.13505876,2.14342115
77;14;4;13;6;139;Entre 10.000 et 25.000 habitants;383;AVON;6288;23790;6288;1787;6796;68121;432;53788;24330;482432;42;100;48.40924794,2.72541852
77;43;3;26;6;4;Entre 0 et 1000 habitants;514;BOITRON;6678;24337;6677;11334;7191;68664;1026;54331;31537;485351;67;196;48.89799752,3.26070676
77;95;1;37;6;12;Entre 10.000 et 25.000 habitants;1254;CHARNY;6312;24415;6312;11413;6826;68746;473;54413;24544;485816;65;120;48.97091455,2.76239188
93;48;1;96;5;1032;Plus de 100.000 habitants;892;MONTREUIL;6078;24291;6078;11289;6591;68624;118;54289;22635;485137;52;117;48.86018607,2.44274968
93;51;2;19;5;634;Entre 50.000 et 100.000 habitants;1295;NOISY-LE-GRAND;6163;24273;6163;11271;6676;68605;246;54271;23329;485038;36;113;48.84384989,2.55845913
95;181;3;27;6;3;Entre 0 et 1000 habitants;361;COURCELLES-SUR-VIOSNE;5755;24534;5755;11531;6270;68869;-372;54531;20005;490440;42;108;49.07813538,2.00137728
77;522;3;1;6;3;Entre 0 et 1000 habitants;1137;VILLIERS-SUR-SEINE;6768;23846;6768;1844;7277;68173;1154;53839;32230;482719;56;66;48.45567869,3.37454246
91;156;3;1;6;19;Entre 10.000 et 25.000 habitants;715;CHEPTAINVILLE;5949;23946;5949;1944;6460;68280;-76;53944;21605;483260;77;152;48.55010918,2.26745546
91;570;3;33;5;201;Entre 10.000 et 25.000 habitants;529;SAINT-MICHEL-SUR-ORGE;5975;24038;5975;11035;6486;68371;-38;54036;21810;483757;38;91;48.63282594,2.30260479
77;32;3;29;6;8;Entre 0 et 1000 habitants;1832;BETON-BAZOCHES;6668;24118;6668;11116;7180;68446;1008;54113;31439;484205;128;183;48.70128177,3.2436343
77;101;3;10;6;9;Entre 0 et 1000 habitants;1303;CHATENAY-SUR-SEINE;6561;23802;6561;1800;7070;68131;842;53798;30540;482506;49;118;48.41824822,3.09420838
77;304;3;26;6;0;Entre 0 et 1000 habitants;530;MONTENILS;6838;24277;6837;11275;7350;68604;1268;54269;32839;485033;162;201;48.84219028,3.47759325
77;322;1;9;6;28;Entre 10.000 et 25.000 habitants;1481;MOUSSY-LE-NEUF;6195;24517;6195;11515;6710;68849;296;54515;23611;490347;92;157;49.0630354,2.6031565
77;349;1;9;6;65;Entre 10.000 et 25.000 habitants;1304;OTHIS;6249;24532;6248;11529;6764;68863;378;54529;24035;490435;94;155;49.07632705,2.67708699
95;52;3;3;5;90;Entre 10.000 et 25.000 habitants;560;BEAUMONT-SUR-OISE;5963;24605;5964;11602;6479;68939;-56;54603;21711;490833;23;210;49.14239276,2.28582778
95;120;3;34;6;20;Entre 10.000 et 25.000 habitants;260;BUTRY-SUR-OISE;5899;24543;5899;11540;6414;68877;-153;54540;21154;490510;22;96;49.08661332,2.19832629
95;447;3;17;6;2;Entre 0 et 1000 habitants;296;NEUILLY-EN-VEXIN;5737;24635;5737;11632;6253;68970;-400;54632;15835;491006;102;190;49.16881515,1.97612142
77;38;2;42;6;4;Entre 0 et 1000 habitants;154;BOISSETTES;6201;23913;6201;1911;6711;68245;302;53911;23631;483113;37;78;48.52015301,2.60851069
77;70;1;7;6;14;Entre 10.000 et 25.000 habitants;1736;CHAILLY-EN-BRIE;6578;24216;6578;11214;7090;68545;874;54211;30723;484725;72;159;48.79023193,3.12275537
77;90;3;25;6;2;Entre 0 et 1000 habitants;637;LA CHAPELLE-SAINT-SULPICE;6622;23954;6621;1952;7132;68282;935;53949;31042;483316;105;151;48.55433062,3.17878807
77;317;2;22;5;44;Entre 10.000 et 25.000 habitants;1660;MORMANT;6408;24011;6408;11009;6919;68341;615;54008;25324;483625;100;122;48.60727363,2.88955544
77;469;3;27;6;11;Entre 10.000 et 25.000 habitants;1134;TOUQUIN;6498;24155;6498;11152;7010;68484;752;54151;30047;484409;89;131;48.73607536,3.01322418
78;160;2;5;5;57;Entre 10.000 et 25.000 habitants;1342;CHEVREUSE;5781;24122;5781;11119;6292;68457;-331;54120;20218;484227;72;174;48.7079621,2.03907914
78;196;3;17;6;3;Entre 0 et 1000 habitants;595;DAVRON;5714;24298;5714;11295;6227;68633;-433;54295;15648;485156;72;142;48.86588444,1.94689922
78;206;1;1;6;41;Entre 10.000 et 25.000 habitants;1127;ECQUEVILLY;5696;24392;5696;11389;6210;68728;-461;54389;15517;485700;33;181;48.95027869,1.92170198
78;642;3;25;6;152;Entre 10.000 et 25.000 habitants;943;VERNEUIL-SUR-SEINE;5734;24425;5734;11422;6249;68760;-403;54422;15826;485847;17;69;48.98010352,1.97334299
91;112;1;17;6;1;Entre 0 et 1000 habitants;839;BROUY;5957;23687;5957;1685;6466;68021;-64;53686;21645;481901;114;147;48.31726742,2.27854943
91;122;3;21;6;96;Entre 10.000 et 25.000 habitants;417;BURES-SUR-YVETTE;5871;24109;5871;11107;6383;68444;-195;54107;20941;484148;56;163;48.69652104,2.16134902
95;306;1;31;5;258;Entre 25.000 et 50.000 habitants;1274;HERBLAY;5875;24436;5875;11433;6389;68770;-190;54434;20956;485925;20;91;48.99042011,2.1658118
95;483;3;27;6;5;Entre 0 et 1000 habitants;546;LE PERCHAY;5705;24571;5705;11568;6221;68907;-449;54568;15557;490640;52;117;49.11117018,1.93272504
77;158;4;16;6;2;Entre 0 et 1000 habitants;1094;DIANT;6487;23649;6487;1647;6995;67979;729;53646;25934;481654;93;155;48.28129274,2.99254484
77;170;4;21;6;5;Entre 0 et 1000 habitants;741;EPISY;6333;23707;6333;1705;6841;68038;499;53705;24710;482003;50;96;48.33441142,2.78554468
77;209;5;14;6;11;Entre 10.000 et 25.000 habitants;272;GOUVERNES;6262;24292;6262;11290;6776;68623;397;54289;24138;485138;46;104;48.86059918,2.69338089
77;256;3;10;6;2;Entre 0 et 1000 habitants;577;LIZINES;6621;23924;6621;1922;7131;68252;935;53919;31039;483137;105;154;48.52737298,3.17700001
77;311;3;10;6;13;Entre 10.000 et 25.000 habitants;2037;MONTIGNY-LENCOUP;6538;23840;6538;1838;7047;68170;808;53837;30350;482711;67;149;48.45260478,3.06362028
77;429;3;26;6;6;Entre 0 et 1000 habitants;379;SAINT-OUEN-SUR-MORIN;6630;24344;6630;11341;7143;68672;954;54338;31144;485416;61;187;48.90477698,3.19538611
91;639;1;11;6;9;Entre 0 et 1000 habitants;846;VAYRES-SUR-ESSONNE;6017;23815;6016;1813;6526;68149;25;53814;22132;482558;57;145;48.43235986,2.35947796
95;607;3;25;5;261;Entre 25.000 et 50.000 habitants;1048;TAVERNY;5920;24475;5920;11473;6435;68809;-122;54473;21336;490133;55;188;49.02553903,2.22718618
77;534;2;22;6;6;Entre 0 et 1000 habitants;1168;YEBLES;6320;24044;6319;11042;6831;68375;482;54042;24612;483816;62;106;48.63743292,2.77052026
78;15;3;39;5;122;Entre 10.000 et 25.000 habitants;691;ANDRESY;5796;24425;5796;11423;6311;68761;-309;54423;20330;485851;17;168;48.98033148,2.05798867
91;326;3;41;5;143;Entre 10.000 et 25.000 habitants;224;JUVISY-SUR-ORGE;6030;24100;6030;11097;6542;68433;46;54098;22239;484118;32;92;48.68855488,2.37723633
92;77;3;11;6;107;Entre 10.000 et 25.000 habitants;367;VILLE-D'AVRAY;5895;24253;5895;11251;6408;68587;-159;54251;21136;484934;86;178;48.82599346,2.19357922
94;73;3;25;5;295;Entre 25.000 et 50.000 habitants;643;THIAIS;6040;24184;6040;11182;6553;68518;61;54183;22329;484552;41;96;48.76405172,2.39089027
95;351;2;30;6;90;Entre 10.000 et 25.000 habitants;1133;LOUVRES;6123;24496;6123;11493;6638;68828;187;54493;23019;490238;64;127;49.04434333,2.5046389
77;48;4;24;6;28;Entre 10.000 et 25.000 habitants;1126;BOURRON-MARLOTTE;6275;23714;6275;1712;6783;68046;412;53713;24228;482028;52;127;48.34097642,2.70738069
77;134;3;29;6;2;Entre 0 et 1000 habitants;1241;COURCHAMP;6701;24046;6700;11044;7211;68374;1056;54040;31713;483811;151;176;48.63621697,3.28726144
77;91;3;27;6;4;Entre 0 et 1000 habitants;642;LES CHAPELLES-BOURBON;6372;24160;6372;11157;6884;68490;561;54157;25031;484428;108;118;48.74142005,2.84205579
77;283;1;15;6;9;Entre 0 et 1000 habitants;1915;MAY-EN-MULTIEN;6501;24529;6500;11526;7016;68858;761;54524;30117;490418;52;149;49.07215587,3.02172627
77;333;4;24;5;127;Entre 10.000 et 25.000 habitants;1083;NEMOURS;6265;23634;6265;1632;6773;67965;397;53632;24137;481607;57;133;48.26909051,2.69340589
77;405;3;26;6;19;Entre 10.000 et 25.000 habitants;1910;SAINT-CYR-SUR-MORIN;6621;24345;6621;11343;7135;68674;941;54340;31102;485422;55;198;48.90576331,3.18313201
77;477;4;3;6;8;Entre 0 et 1000 habitants;821;URY;6198;23716;6198;1714;6706;68049;297;53715;23613;482036;108;130;48.34305485,2.60354779
78;31;1;7;6;6;Entre 0 et 1000 habitants;237;AUFFREVILLE-BRASSEUIL;5541;24397;5542;11395;6056;68734;-696;54393;14238;485714;24;127;48.95384806,1.71016046
