Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0912312U;Ecole Primaire LE CLOS;ECOLE PRIMAIRE PUBLIQUE;LE CLOS;Public;Rue du Lac;;;91250;TIGERY;Tigery;663391.2;6838174.4;EPSG:2154;48.642711770388885;2.5031003005383865;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;91;11;25;91617;Essonne;Ile-de-France;Versailles;48.6427117704,2.50310030054;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2012-06-01
0912321D;Lycée polyvalent privé Saint-Martin;LYCEE POLYVALENT PRIVE;SAINT MARTIN;Privé;36 avenue du 8 Mai 1945;;;91120;PALAISEAU;Palaiseau;644259.0;6845762.9;EPSG:2154;48.709598469266645;2.2424395640974266;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;91;11;25;91477;Essonne;Ile-de-France;Versailles;48.7095984693,2.2424395641;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;2013-06-01
0912323F;Ecole maternelle Beauregard;ECOLE MATERNELLE PUBLIQUE;BEAUREGARD;Public;9 rue Cambrelang;;;91330;YERRES;Yerres;662471.5;6846470.8;EPSG:2154;48.717280257719835;2.489889880869515;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;91;11;25;91691;Essonne;Ile-de-France;Versailles;48.7172802577,2.48988988087;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2013-06-01
0912325H;Ecole primaire Tomi Ungerer;ECOLE PRIMAIRE PUBLIQUE;TOMI UNGERER;Public;Allée Jean Fourest;;;91260;JUVISY SUR ORGE;Juvisy-sur-Orge;654801.4;6843607.6;EPSG:2154;48.691037029157464;2.385939727847145;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;91;11;25;91326;Essonne;Ile-de-France;Versailles;48.6910370292,2.38593972785;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2013-06-01
0912352M;Ecole Elémentaire privée Groupe Scolaire Excellence;ECOLE ELEMENTAIRE PRIVEE;GROUPE SCOLAIRE EXCELLENCE;Privé;22 rue ROBINSON;;;91100;CORBEIL ESSONNES;Corbeil-Essonnes;660541.5;6834167.8;EPSG:2154;48.60650560456019;2.464790407149783;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;91;11;25;91174;Essonne;Ile-de-France;Versailles;48.6065056046,2.46479040715;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2015-06-01
0912399N;Ecole élémentaire ROSA PARKS;ECOLE ELEMENTAIRE PUBLIQUE;ROSA PARKS;Public;Place RENE COTY;;;91170;VIRY CHATILLON;Viry-Châtillon;654115.4;6841698.0;EPSG:2154;48.67381317348524;2.3768249789223677;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;91;11;25;91687;Essonne;Ile-de-France;Versailles;48.6738131735,2.37682497892;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2019-06-01
0920601D;Ecole élémentaire publique Anatole France;ECOLE ELEMENTAIRE PUBLIQUE;ANATOLE FRANCE;Public;36 rue du Puits Guyon;;;92230;GENNEVILLIERS;Gennevilliers;648664.7;6869670.8;EPSG:2154;48.92497132222236;2.2994302190685914;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;2;A FERMER;92;11;25;92036;Hauts-de-Seine;Ile-de-France;Versailles;48.9249713222,2.29943021907;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0920901E;Ecole 2D degré général privée Ecole progress d'Aguesseau;ECOLE 2D DEGRE GENERAL PRIVEE;ECOLE PROGRESS D'AGUESSEAU;Privé;16  RUE D'AGUESSEAU;;;92100;BOULOGNE BILLANCOURT;Boulogne-Billancourt;643950.0;6860748.7;EPSG:2154;48.84434537406781;2.2362704656669723;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;92;11;25;92012;Hauts-de-Seine;Ile-de-France;Versailles;48.8443453741,2.23627046567;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-06
0922110U;Ecole primaire privée Montessori Bilingue;ECOLE PRIMAIRE PRIVEE;ECOLE MONTESSORI BILINGUE;Privé;5 rue DE GARCHES;;;92210;ST CLOUD;Saint-Cloud;641708.3;6860656.2;EPSG:2154;48.84331464728066;2.2057400702301866;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;92;11;25;92064;Hauts-de-Seine;Ile-de-France;Versailles;48.8433146473,2.20574007023;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1985-09-01
0922290P;Section d'enseignement professionnel du lycée polyvalent Charles Petiet;SECTION ENSEIGNT PROFESSIONNEL;LPO CHARLES PETIET;Public;65 BOULEVARD GALLIENI;;26;92391;VILLENEUVE LA GARENNE CEDEX;Villeneuve-la-Garenne;650780.2;6870009.2;EPSG:2154;48.92817962402817;2.328259612990809;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;92;11;25;92078;Hauts-de-Seine;Ile-de-France;Versailles;48.928179624,2.32825961299;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-09-01
0922291R;Section d'enseignement professionnel du lycée polyvalent Santos Dumont;SECTION ENSEIGNT PROFESSIONNEL;LPO SANTOS DUMONT;Public;39 rue Pasteur;;;92210;ST CLOUD;Saint-Cloud;641242.8;6860347.1;EPSG:2154;48.840492675452424;2.199440480567792;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;92;11;25;92064;Hauts-de-Seine;Ile-de-France;Versailles;48.8404926755,2.19944048057;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-09-01
0922339T;Section d'enseignement professionnel du lycée polyvalent Leonard de Vinci;SECTION ENSEIGNT PROFESSIONNEL;LPO LEONARD DE VINCI;Public;4 avenue Georges Pompidou;;;92304;LEVALLOIS PERRET CEDEX;Levallois-Perret;647094.4;6866554.7;EPSG:2154;48.89682293651496;2.2783902166313914;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;92;11;25;92044;Hauts-de-Seine;Ile-de-France;Versailles;48.8968229365,2.27839021663;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-09-01
0922571V;Ecole Elémentaire privée Bilingue;ECOLE ELEMENTAIRE PRIVEE;BILINGUE;Privé;7 avenue Charlesbourg;;;92250;LA GARENNE COLOMBES;La Garenne-Colombes;644341.7;6867669.7;EPSG:2154;48.90661738550487;2.240700585221303;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;92;11;25;92035;Hauts-de-Seine;Ile-de-France;Versailles;48.9066173855,2.24070058522;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2003-09-01
0922688X;Lycée agricole privé Saint-Philippe de Meudon;LYCEE AGRICOLE PRIVE;ST PHILIPPE - MEUDON;Privé;1 RUE DU PERE BROTTIER;;;92190;MEUDON;Meudon;644723.8;6856545.3;EPSG:2154;48.80661082831555;2.247359420451609;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;92;11;25;92048;Hauts-de-Seine;Ile-de-France;Versailles;48.8066108283,2.24735942045;99;SANS OBJET;03;AGRICULTURE;1980-09-01
