Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0941018W;Lycée polyvalent Edouard Branly;LYCEE POLYVALENT;EDOUARD BRANLY;Public;33 rue DU PETIT BOIS;;;94000;CRETEIL;Créteil;660915.6;6853923.2;EPSG:2154;48.784213720173305;2.468059377965045;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;94;11;24;94028;Val-de-Marne;Ile-de-France;Créteil;48.7842137202,2.46805937797;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-04-03
0910620E;Lycée polyvalent Robert Doisneau, lycée des métiers des services aux entreprises et de l'industrie;LPO LYCEE DES METIERS;ROBERT DOISNEAU;Public;89 avenue Serge Dassault;;;91107;CORBEIL ESSONNES CEDEX;Corbeil-Essonnes;660081.9;6835028.6;EPSG:2154;48.61422023491838;2.458476580123971;Correcte;Rue;306;LYCEE POLYVALENT;1;OUVERT;91;11;25;91174;Essonne;Ile-de-France;Versailles;48.6142202349,2.45847658012;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0910752Y;Collège Le Chantemerle;COLLEGE;LE CHANTEMERLE;Public;9 boulevard GEORGES MICHEL;;;91100;CORBEIL ESSONNES;Corbeil-Essonnes;660802.0;6834091.3;EPSG:2154;48.60583332129587;2.4683306721746057;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;91;11;25;91174;Essonne;Ile-de-France;Versailles;48.6058333213,2.46833067217;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1967-10-05
0912233H;Collège Olympe de Gouges;COLLEGE;OLYMPE DE GOUGES;Public;36 rue DU VIVIER;;;91750;CHAMPCUEIL;Champcueil;659230.1;6824389.5;EPSG:2154;48.51846609507734;2.4479306151858298;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;91;11;25;91135;Essonne;Ile-de-France;Versailles;48.5184660951,2.44793061519;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2004-09-01
0750210W;E.P.PR LA TRINITE 16 rue de Milan;ECOLE PRIMAIRE PRIVEE;LA TRINITE;Privé;16 rue de Milan;;;75009;PARIS;Paris  9e  Arrondissement;650699.8;6864525.8;EPSG:2154;48.87886399698742;2.3277994438328315;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75109;Paris;Ile-de-France;Paris;48.878863997,2.32779944383;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750223K;E.P.PR SAINTE-MARGUERITE 16 rue Basfroi;ECOLE PRIMAIRE PRIVEE;SAINTE-MARGUERITE;Privé;16 rue Basfroi;;;75011;PARIS;Paris 11e  Arrondissement;654487.1;6861789.7;EPSG:2154;48.8545374690418;2.3797295209141227;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75111;Paris;Ile-de-France;Paris;48.854537469,2.37972952091;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750243G;E.P.PR SAINT-ESPRIT 56 rue des Meuniers;ECOLE PRIMAIRE PRIVEE;SAINT-ESPRIT;Privé;56 rue des Meuniers;;;75012;PARIS;Paris 12e  Arrondissement;655595.7;6859664.1;EPSG:2154;48.83549922841455;2.395059354415942;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75112;Paris;Ile-de-France;Paris;48.8354992284,2.39505935442;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-15
0750321S;E.P.PR BLANCHE DE CASTILLE 8 ter rue Roger Bacon;ECOLE PRIMAIRE PRIVEE;BLANCHE DE CASTILLE;Privé;8 ter rue Roger Bacon;;;75017;PARIS;Paris 17e  Arrondissement;647887.3;6864957.4;EPSG:2154;48.88252376988987;2.289400501233625;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75117;Paris;Ile-de-France;Paris;48.8825237699,2.28940050123;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1969-01-17
0750553U;Lycée professionel Gaston Bachelard;LYCEE PROFESSIONNEL;GASTON BACHELARD;Public;2 rue Tagore;;;75013;PARIS;Paris 13e  Arrondissement;653033.9;6858040.4;EPSG:2154;48.820715464470396;2.3603394244216216;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;75;11;01;75113;Paris;Ile-de-France;Paris;48.8207154645,2.36033942442;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750658H;Lycée général Saint Louis;LYCEE GENERAL;SAINT-LOUIS;Public;44 boulevard Saint-Michel;;;75006;PARIS;Paris  6e  Arrondissement;651691.1;6861208.0;EPSG:2154;48.849102692602756;2.3416921685730263;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;01;75106;Paris;Ile-de-France;Paris;48.8491026926,2.34169216857;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750714U;Lycée général Hélène Boucher;LYCEE GENERAL;HELENE BOUCHER;Public;75 cours de Vincennes;;;75020;PARIS;Paris 20e  Arrondissement;656478.8;6861027.3;EPSG:2154;48.84781882883776;2.406950304578298;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;01;75120;Paris;Ile-de-France;Paris;48.8478188288,2.40695030458;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0750783U;Lycée professionnel Chennevière Malezieux;LYCEE PROFESSIONNEL;CHENNEVIERE MALEZIEUX;Public;33 avenue Ledru-Rollin;;;75012;PARIS;Paris 12e  Arrondissement;653775.2;6860992.7;EPSG:2154;48.84731938848475;2.370114476367872;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;75;11;01;75112;Paris;Ile-de-France;Paris;48.8473193885,2.37011447637;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0751593Z;Ecole Saint Louis de coiffure et beauté;ECOLE 2D DEGRE PROF.PRIVEE;SAINT-LOUIS UNION ACADEMIE;Privé;113 rue DU FG POISSONNIERE;;;75009;PARIS;Paris  9e  Arrondissement;652256.6;6864391.1;EPSG:2154;48.87776997737949;2.349040332711608;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;75;11;01;75109;Paris;Ile-de-France;Paris;48.8777699774,2.34904033271;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1969-03-20
0751698N;Ecole privée pigier;ECOLE 2D DEGRE PROF.PRIVEE;PIGIER PERFORMANCE;Privé;11 rue DE CAMBRAI;;;75019;PARIS;Paris 19e  Arrondissement;654555.7;6866416.7;EPSG:2154;48.89615190291203;2.3801694123909476;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;75;11;01;75119;Paris;Ile-de-France;Paris;48.8961519029,2.38016941239;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-16
0752870M;Collège privé Saint Jean de Passy;COLLEGE PRIVE;SAINT-JEAN DE PASSY;Privé;72  RUE RAYNOUARD;;;75016;PARIS;Paris 16e  Arrondissement;647055.0;6861845.7;EPSG:2154;48.85447317545069;2.278439754335523;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;75;11;01;75116;Paris;Ile-de-France;Paris;48.8544731755,2.27843975434;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-04-14
0752877V;Ecole technologique privée Métiers de la création-La Ruche;ECOLE TECHNOLOGIQUE PRIVEE;MET DE LA CREATION-LA RUCHE;Privé;14 rue LALLY TOLLENDAL;;;75019;PARIS;Paris 19e  Arrondissement;654111.7;6864966.4;EPSG:2154;48.88307835603515;2.374270544819522;Parfaite;Numéro de rue;301;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;1;OUVERT;75;11;01;75119;Paris;Ile-de-France;Paris;48.883078356,2.37427054482;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1977-05-09
0752968U;E.M.PR PARDESS HANNA 49 rue Petit;ECOLE MATERNELLE PRIVEE;PARDESS HANNA;Privé;49 rue Petit;;;75019;PARIS;Paris 19e  Arrondissement;654929.2;6865223.9;EPSG:2154;48.88545171798452;2.3853901303780534;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;75;11;01;75119;Paris;Ile-de-France;Paris;48.885451718,2.38539013038;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;2006-09-01
0753838P;Lycée privé Saint Sulpice;LYCEE GENERAL PRIVE;SAINT-SULPICE;Privé;68  RUE D'ASSAS;;;75006;PARIS;Paris  6e  Arrondissement;650950.9;6860822.1;EPSG:2154;48.84557638638191;2.3316504129059505;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;01;75106;Paris;Ile-de-France;Paris;48.8455763864,2.33165041291;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-02-28
0753935V;Lycée général privé Georges Leven;LYCEE GENERAL PRIVE;GEORGES LEVEN;Privé;30 boulevard Carnot;;;75012;PARIS;Paris 12e  Arrondissement;656909.5;6860430.1;EPSG:2154;48.84247712478351;2.4128796079100647;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;01;75112;Paris;Ile-de-France;Paris;48.8424771248,2.41287960791;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-25
0753946G;Etablissement privé Notre-Dame des Oiseaux (Ecole secondaire privée);LYCEE GENERAL PRIVE;NOTRE-DAME DES OISEAUX;Privé;12  RUE MICHEL ANGE;;;75016;PARIS;Paris 16e  Arrondissement;645911.9;6860995.1;EPSG:2154;48.84672889059724;2.26297012558929;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;01;75116;Paris;Ile-de-France;Paris;48.8467288906,2.26297012559;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-27
0754081D;Lycée privé Sainte Ursule-Louise de Bettignies;LYCEE GENERAL PRIVE;STE URSULE-LOUISE BETTIGNIES;Privé;25  RUE DAUBIGNY;;;75017;PARIS;Paris 17e  Arrondissement;649216.4;6865321.9;EPSG:2154;48.88590777729157;2.3074793414882504;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;01;75117;Paris;Ile-de-France;Paris;48.8859077773,2.30747934149;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0754338H;Centre d'Enseignement de Soins Esthétiques (Ecole secondaire professionnelle privée);ECOLE 2D DEGRE PROF.PRIVEE;CTRE PRI ENS SOINS ESTHETIQUES;Privé;9 rue VOLNEY;;;75002;PARIS;Paris  2e  Arrondissement;650862.1;6863506.7;EPSG:2154;48.86971189860162;2.3301301489575805;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;75;11;01;75102;Paris;Ile-de-France;Paris;48.8697118986,2.33013014896;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1989-08-03
0754829S;E.P.PR HORIZON MONTESSORI 6 rue Gourdault;ECOLE PRIMAIRE PRIVEE;HORIZON MONTESSORI;Privé;6 rue Gourdault;;;75013;PARIS;Paris 13e  Arrondissement;653844.7;6859255.7;EPSG:2154;48.83170342229483;2.371249949651628;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;75;11;01;75113;Paris;Ile-de-France;Paris;48.8317034223,2.37124994965;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;1996-09-01
0754883A;Section d'enseignement professionnel du Lycée polyvalent Raspail;SECTION ENSEIGNT PROFESSIONNEL;LPO RASPAIL;Public;5 bis avenue Maurice d'Ocagne;;;75014;PARIS;Paris 14e  Arrondissement;649553.2;6858512.0;EPSG:2154;48.824693651941715;2.312880022271915;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;75;11;01;75114;Paris;Ile-de-France;Paris;48.8246936519,2.31288002227;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1994-09-01
0754919P;Section d'enseignement professionnel du Lycée polyvalent privé Le Rebours;SECTION ENSEIGT PROFES.PRIVEE;LPO PRIVE LE REBOURS;Privé;44  BOULEVARD AUGUSTE BLANQUI;;;75013;PARIS;Paris 13e  Arrondissement;652315.0;6859094.4;EPSG:2154;48.83014147547069;2.3504306291295785;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;75;11;01;75113;Paris;Ile-de-France;Paris;48.8301414755,2.35043062913;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1994-09-01
0754965P;Lycée général et technologique privé Lucien de Hirsh;LYCEE GEN.ET TECHNOL.PRIVE;LUCIEN DE HIRSCH;Privé;70  AVENUE SECRETAN;;;75019;PARIS;Paris 19e  Arrondissement;654281.7;6864584.9;EPSG:2154;48.87965972290767;2.3766296229591246;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;75;11;01;75119;Paris;Ile-de-France;Paris;48.8796597229,2.37662962296;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1999-09-01
0755099K;Section d enseignement professionnel du lycée polyvalent Diderot;SECTION ENSEIGNT PROFESSIONNEL;LPO DIDEROT;Public;61 rue David d'Angers;;;75019;PARIS;Paris 19e  Arrondissement;655695.1;6864779.9;EPSG:2154;48.88151210228348;2.3958802683351013;Parfaite;Numéro de rue;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;1;OUVERT;75;11;01;75119;Paris;Ile-de-France;Paris;48.8815121023,2.39588026834;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2004-09-01
0755544U;Ecole Professionnelle privée Pigier Creation;ECOLE 2D DEGRE PROF.PRIVEE;PIGIER CREATION;Privé;44 rue la Quintinie;;;75015;PARIS;Paris 15e  Arrondissement;648849.0;6859921.5;EPSG:2154;48.83731388318131;2.3031194002725557;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;75;11;01;75115;Paris;Ile-de-France;Paris;48.8373138832,2.30311940027;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2010-03-30
0755748R;Institut des Relations Internationales et Stratégiques Superieur;ECOLE PRIVE D'ENS TECHNIQUE;INST RESSOURCES INFO SUP;Privé;2 bis rue Mercoeur;;;75011;PARIS;Paris 11e  Arrondissement;654712.8;6862030.2;EPSG:2154;48.85671617629687;2.3827797178599157;Parfaite;Numéro de rue;306;LYCEE POLYVALENT;1;OUVERT;75;11;01;75111;Paris;Ile-de-France;Paris;48.8567161763,2.38277971786;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2013-09-01
0756052W;Lycée général privé La classe du Phare;ECOLE 2D DEGRE GENERAL PRIVEE;LA CLASSE DU PHARE;Privé;11 rue Neuve Popincourt;;;75011;PARIS;Paris 11e  Arrondissement;654107.8;6862856.7;EPSG:2154;48.864105991902065;2.3744452651104866;Parfaite;Numéro de rue;302;LYCEE D ENSEIGNEMENT GENERAL;1;OUVERT;75;11;01;75111;Paris;Ile-de-France;Paris;48.8641059919,2.37444526511;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2019-10-24
0756099X;Lycée Technique privée Sup Santé;LYCEE TECHNIQUE PRIVE;SUP SANTE;Privé;23 rue Cortambert;;;75016;PARIS;Paris 16e  Arrondissement;;;;;;;;301;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;3;A OUVRIR;75;11;01;75116;Paris;Ile-de-France;Paris;;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2020-09-01
0910624J;Collège Blaise Pascal;COLLEGE;BLAISE PASCAL;Public;2 allée D AJACCIO;;;91300;MASSY;Massy;648169.2;6848389.5;EPSG:2154;48.73354747006357;2.295260487672065;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;91;11;25;91377;Essonne;Ile-de-France;Versailles;48.7335474701,2.29526048767;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0920149M;Lycée général et technologique Michelet;LYCEE GENERAL ET TECHNOLOGIQUE;MICHELET;Public;5  RUE JULLIEN;;37;92174;VANVES CEDEX;Vanves;647633.3;6858439.7;EPSG:2154;48.82389034255808;2.2867399604444123;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;92;11;25;92075;Hauts-de-Seine;Ile-de-France;Versailles;48.8238903426,2.28673996044;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0921391M;Collège Jean Jaurès;COLLEGE;JEAN JAURES;Public;91 rue RIVAY;;;92300;LEVALLOIS PERRET;Levallois-Perret;647678.2;6866651.8;EPSG:2154;48.89774382212412;2.286340593642261;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;92;11;25;92044;Hauts-de-Seine;Ile-de-France;Versailles;48.8977438221,2.28634059364;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-12
0950702X;Ecole élémentaire Paul Langevin 2;ECOLE ELEMENTAIRE PUBLIQUE;PAUL LANGEVIN 2;Public;Place Lalo;;;95400;VILLIERS LE BEL;Villiers-le-Bel;656068.7;6878801.8;EPSG:2154;49.00762576601825;2.3995203537249776;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;95;11;25;95680;Val-d'Oise;Ile-de-France;Versailles;49.007625766,2.39952035372;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-04-21
0921394R;Collège André Doucet;COLLEGE;ANDRE DOUCET;Public;54 boulevard DE LA SEINE;;;92000;NANTERRE;Nanterre;641079.3;6866930.3;EPSG:2154;48.89967805467108;2.196300057210233;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;92;11;25;92050;Hauts-de-Seine;Ile-de-France;Versailles;48.8996780547,2.19630005721;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-12
0780050F;Collège du Bois d'Aulne;COLLEGE;DU BOIS D'AULNE;Public;1 place René Picard;;;78700;CONFLANS STE HONORINE;Conflans-Sainte-Honorine;635540.0;6879532.1;EPSG:2154;49.01246047214563;2.1188298278156608;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78172;Yvelines;Ile-de-France;Versailles;49.0124604721,2.11882982782;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0780112Y;Collège Le Prieuré;COLLEGE;LE PRIEURE;Public;3 rue du Prieuré;;;78600;MAISONS LAFFITTE;Maisons-Laffitte;637655.2;6872082.2;EPSG:2154;48.94568218180212;2.1488401207630266;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78358;Yvelines;Ile-de-France;Versailles;48.9456821818,2.14884012076;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0780119F;Collège Louis Lumière;COLLEGE;LOUIS LUMIERE;Public;15 avenue Jean Béranger;;;78160;MARLY LE ROI;Marly-le-Roi;633896.7;6863556.3;EPSG:2154;48.86864020216012;2.0988600086915894;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78372;Yvelines;Ile-de-France;Versailles;48.8686402022,2.09886000869;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0780183A;Collège Montaigne;COLLEGE;MONTAIGNE;Public;77 rue de Pierrefitte;;;78700;CONFLANS STE HONORINE;Conflans-Sainte-Honorine;632938.4;6877954.0;EPSG:2154;48.998004875995385;2.0835193817226596;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78172;Yvelines;Ile-de-France;Versailles;48.998004876,2.08351938172;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-04-03
0780184B;Collège Jean Racine;COLLEGE;JEAN RACINE;Public;2 rue Racine;;;78220;VIROFLAY;Viroflay;639365.4;6855738.6;EPSG:2154;48.79887445647627;2.1745193668161247;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78686;Yvelines;Ile-de-France;Versailles;48.7988744565,2.17451936682;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-04-03
0780210E;Collège Saint-Exupéry;COLLEGE;ST EXUPERY;Public;21 avenue Robert Wagner;;;78140;VELIZY VILLACOUBLAY;Vélizy-Villacoublay;639496.8;6854032.3;EPSG:2154;48.78354162614201;2.176550357164158;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78640;Yvelines;Ile-de-France;Versailles;48.7835416261,2.17655035716;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0780263M;Collège Pierre et Marie Curie;COLLEGE;PIERRE ET MARIE CURIE;Public;62 avenue Pierre et Marie Curie;;;78230;LE PECQ;Le Pecq;635196.2;6865940.1;EPSG:2154;48.89020848402967;2.116209983446243;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78481;Yvelines;Ile-de-France;Versailles;48.890208484,2.11620998345;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-03-19
0780419G;Collège Louis Pergaud;COLLEGE;LOUIS PERGAUD;Public;15 avenue de Limagne;;14;78315;MAUREPAS CEDEX;Maurepas;622358.5;6852041.6;EPSG:2154;48.76380410878233;1.9436849691696094;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78383;Yvelines;Ile-de-France;Versailles;48.7638041088,1.94368496917;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-04
0780504Z;Collège Pasteur;COLLEGE;PASTEUR;Public;30 avenue de Circourt;;;78170;LA CELLE ST CLOUD;La Celle-Saint-Cloud;637268.5;6861468.9;EPSG:2154;48.850206150393525;2.1451297685167634;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78126;Yvelines;Ile-de-France;Versailles;48.8502061504,2.14512976852;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-02-18
0780512H;Collège Philippe de Champaigne;COLLEGE;PHILIPPE DE CHAMPAIGNE;Public;4 avenue de Breteuil;;;78320;LE MESNIL ST DENIS;Le Mesnil-Saint-Denis;622802.5;6849911.3;EPSG:2154;48.74469910219207;1.950110223145282;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78397;Yvelines;Ile-de-France;Versailles;48.7446991022,1.95011022315;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-02-18
0780571X;Collège Henri IV;COLLEGE;HENRI IV;Public;Route de Pontoise;;;78250;MEULAN EN YVELINES;Meulan-en-Yvelines;621111.1;6879899.6;EPSG:2154;49.01415485042367;1.9215399978645131;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78401;Yvelines;Ile-de-France;Versailles;49.0141548504,1.92153999786;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1973-03-28
0780577D;Collège Romain Rolland;COLLEGE;ROMAIN ROLLAND;Public;6 rue de Marseille;;92;78501;SARTROUVILLE CEDEX;Sartrouville;641484.9;6871725.0;EPSG:2154;48.94283004515585;2.201170595382243;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78586;Yvelines;Ile-de-France;Versailles;48.9428300452,2.20117059538;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1973-03-28
0780578E;Collège Pablo Picasso;COLLEGE;PABLO PICASSO;Public;25 rue Charles Constantin;;;78360;MONTESSON;Montesson;637096.2;6868102.0;EPSG:2154;48.90983742183437;2.14179955807497;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78418;Yvelines;Ile-de-France;Versailles;48.9098374218,2.14179955807;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1973-03-28
0780580G;Collège Pierre de Nolhac;COLLEGE;PIERRE DE NOLHAC;Public;10 rue de Limoges;;;78000;VERSAILLES;Versailles;636169.4;6855750.1;EPSG:2154;48.79866947468732;2.1310106623163603;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78646;Yvelines;Ile-de-France;Versailles;48.7986694747,2.13101066232;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1973-03-28
0780582J;Lycée général et technologique Jean Vilar;LYCEE GENERAL ET TECHNOLOGIQUE;JEAN VILAR;Public;1033 avenue du Général de Gaulle;;21;78375;PLAISIR CEDEX;Plaisir;623587.3;6858741.0;EPSG:2154;48.824198007873136;1.9591995664243718;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;78;11;25;78490;Yvelines;Ile-de-France;Versailles;48.8241980079,1.95919956642;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1973-03-28
0780760C;Collège La Fosse Aux Dames;COLLEGE;LA FOSSE AUX DAMES;Public;Rue Pablo Néruda;;;78340;LES CLAYES SOUS BOIS;Les Clayes-sous-Bois;624715.1;6858850.8;EPSG:2154;48.82531810898871;1.9745399186978205;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78165;Yvelines;Ile-de-France;Versailles;48.825318109,1.9745399187;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1975-04-25
0780847X;Collège Jean Moulin;COLLEGE;JEAN MOULIN;Public;19 rue de Seine;;;78290;CROISSY SUR SEINE;Croissy-sur-Seine;637253.9;6864247.7;EPSG:2154;48.87519345445891;2.144520577973531;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78190;Yvelines;Ile-de-France;Versailles;48.8751934545,2.14452057797;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1976-02-27
0781263Z;Collège La Couldre;COLLEGE;LA COULDRE;Public;32 avenue des 4 Pavés du Roy;;70;78180;MONTIGNY LE BRETONNEUX;Montigny-le-Bretonneux;628382.3;6852939.9;EPSG:2154;48.77257935163207;2.0254794624755874;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;78;11;25;78423;Yvelines;Ile-de-France;Versailles;48.7725793516,2.02547946248;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1978-09-15
